State,Number of Cases,Deaths
Alabama,1648385,21631
Alaska,308893,1438
American Samoa,8321,34
Arizona,2451062,33190
Arkansas,1008303,13068
California,12169158,104277
Colorado,1771010,14245
Connecticut,978456,12270
Delaware,332861,3352
District of Columbia,178226,1432
Florida,7542869,87141
Georgia,2984923,41055
Guam,62077,416
Hawaii,372408,1851
Idaho,522919,5456
Illinois,4107931,41618
Indiana,2054533,26179
Iowa,907421,10770
Kansas,940815,10232
Kentucky,1723443,18348
Louisiana,1580709,18835
Maine,319997,2981
Maryland,1369930,16672
Massachusetts,2230150,24441
Michigan,3068195,42311
Minnesota,1784263,14964
Mississippi,993035,13431
Missouri,1794207,23998
Montana,330875,3701
Nebraska,570835,5068
Nevada,892814,12093
New Hampshire,379689,3018
New Jersey,3057442,36097
New Mexico,673541,9110
New York,6805271,80109
North Carolina,3481732,29746
North Dakota,288106,2529
Northern Mariana Islands,13395,41
Ohio,3415254,42061
Oklahoma,1295832,16549
Oregon,967156,9451
Pennsylvania,3539135,50701
Puerto Rico,1139243,5848
Rhode Island,461788,3915
South Carolina,1840458,20192
South Dakota,280525,3222
Tennessee,2459152,29035
Texas,8447168,94518
Utah,1093049,5316
Vermont,153198,939
Virgin Islands,24838,130
Virginia,2298300,23782
Washington,1940704,15905
West Virginia,645710,8132
Wisconsin,2014524,16485
Wyoming,185800,2014
